Model,makespan,throughput,avg_abs_start_dev,avg_duration_diff,levenshtein_seq,leven_a3_0_seq,toolchange_perc,seed,instance,priority_rule
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.44,0.0,0,35.333,106,2000,fcfs
CausalContinousSmallLogCopyModel,5.0,-6.1,6.5,4.44,7.333,22,41.333,106,2000,fcfs
AverageOperationModel,8.0,-3.4,14.3,4.44,8.0,24,35.333,106,2000,fcfs
LogNormalDistributionModel,18.0,1.1,19.3,4.44,9.667,29,34.0,106,2000,fcfs
NormalDistributionModel,27.0,2.6,24.7,4.44,9.667,29,38.667,106,2000,fcfs
HistoDistributionModel,-6.0,-0.4,23.3,4.44,10.0,30,35.333,106,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19850.0,7.1,1.7,4.8,1300.0,1950,52.773,99,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.8,0.0,0,51.387,99,2000,fcfs
CausalContinousSmallLogCopyModel,-6.0,0.8,12.5,4.8,8.0,24,51.387,99,2000,fcfs
AverageOperationModel,7.0,-2.5,9.3,4.8,4.0,12,50.72,99,2000,fcfs
LogNormalDistributionModel,-13.0,-12.4,14.4,4.8,8.333,25,54.053,99,2000,fcfs
NormalDistributionModel,47.0,0.3,26.7,4.8,8.333,25,52.053,99,2000,fcfs
HistoDistributionModel,37.0,-3.3,20.2,4.8,8.333,25,50.053,99,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19695.0,18.5,0.2,4.36,1300.0,1950,51.39,101,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.36,0.0,0,47.66,101,2000,fcfs
CausalContinousSmallLogCopyModel,-5.0,-2.1,11.0,4.36,7.333,22,50.993,101,2000,fcfs
AverageOperationModel,-5.0,-1.7,8.2,4.36,5.0,15,46.327,101,2000,fcfs
LogNormalDistributionModel,1.0,3.4,17.1,4.36,7.0,21,44.993,101,2000,fcfs
NormalDistributionModel,19.0,-1.7,18.1,4.36,9.667,29,44.327,101,2000,fcfs
HistoDistributionModel,3.0,1.9,12.4,4.36,6.667,20,43.66,101,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19976.0,28.1,0.0,5.07,1300.0,1950,51.477,89,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,5.07,0.0,0,58.257,89,2000,fcfs
CausalContinousSmallLogCopyModel,30.0,0.0,11.0,5.07,0.667,2,58.257,89,2000,fcfs
AverageOperationModel,8.0,-4.0,14.3,5.07,9.667,29,54.257,89,2000,fcfs
LogNormalDistributionModel,22.0,2.4,31.2,5.07,8.333,25,54.257,89,2000,fcfs
NormalDistributionModel,67.0,-1.2,36.2,5.07,8.0,24,52.923,89,2000,fcfs
HistoDistributionModel,11.0,1.9,10.6,5.07,9.333,28,54.257,89,2000,fcfs
TruthContinousSmallLogCopyModel_2000,19748.0,31.4,3.3,4.87,1300.0,1950,51.213,95,2000,fcfs
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,4.87,0.0,0,48.737,95,2000,fcfs
