Model,makespan (over all),avg abs start deviation,avg duration deviation,kendall_sequ_sim,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4498,550,fcfs
CausalContinousModel,1.0,7.5,0.0,0.998,0.773,1.0,1.0,0.995,4498,550,fcfs
AverageOperationModel,-1.0,5.9,-0.1,0.999,0.813,1.0,1.0,0.996,4498,550,fcfs
LogNormalDistributionModel,1.0,7.6,-0.3,0.998,0.78,1.0,1.0,0.995,4498,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4499,550,fcfs
CausalContinousModel,-2.0,7.7,0.1,0.997,0.687,1.0,1.0,0.991,4499,550,fcfs
AverageOperationModel,-3.0,4.7,0.0,0.999,0.829,1.0,1.0,0.996,4499,550,fcfs
LogNormalDistributionModel,1.0,5.4,-0.1,0.999,0.793,1.0,1.0,0.996,4499,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4500,550,fcfs
CausalContinousModel,2.0,8.3,-0.3,0.998,0.767,1.0,1.0,0.993,4500,550,fcfs
AverageOperationModel,-4.0,9.7,-0.2,0.998,0.747,1.0,1.0,0.993,4500,550,fcfs
LogNormalDistributionModel,1.0,5.3,-0.2,0.998,0.771,1.0,1.0,0.995,4500,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4501,550,fcfs
CausalContinousModel,1.0,6.6,0.0,0.997,0.727,1.0,1.0,0.992,4501,550,fcfs
AverageOperationModel,-5.0,4.9,0.1,0.999,0.913,1.0,1.0,0.998,4501,550,fcfs
LogNormalDistributionModel,3.0,6.3,-0.2,0.999,0.84,1.0,1.0,0.998,4501,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4502,550,fcfs
CausalContinousModel,1.0,3.1,-0.0,0.999,0.842,1.0,1.0,0.998,4502,550,fcfs
AverageOperationModel,-1.0,3.5,0.0,0.999,0.869,1.0,1.0,0.998,4502,550,fcfs
LogNormalDistributionModel,3.0,6.0,-0.2,0.998,0.731,1.0,1.0,0.994,4502,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4503,550,fcfs
CausalContinousModel,-4.0,9.0,0.3,0.996,0.7,1.0,1.0,0.989,4503,550,fcfs
AverageOperationModel,-7.0,7.2,0.0,0.997,0.771,1.0,1.0,0.992,4503,550,fcfs
LogNormalDistributionModel,-0.0,6.6,0.1,0.997,0.707,1.0,1.0,0.991,4503,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4504,550,fcfs
CausalContinousModel,3.0,18.0,0.4,0.993,0.627,1.0,1.0,0.978,4504,550,fcfs
AverageOperationModel,-2.0,8.8,0.2,0.997,0.764,1.0,1.0,0.991,4504,550,fcfs
LogNormalDistributionModel,-1.0,4.9,0.3,0.999,0.793,1.0,1.0,0.996,4504,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4505,550,fcfs
CausalContinousModel,-2.0,5.1,-0.2,0.999,0.804,1.0,1.0,0.997,4505,550,fcfs
AverageOperationModel,-7.0,5.6,-0.1,0.999,0.864,1.0,1.0,0.998,4505,550,fcfs
LogNormalDistributionModel,-6.0,6.1,-0.1,0.999,0.822,1.0,1.0,0.997,4505,550,fcfs
TruthContinousModel,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4506,550,fcfs
CausalContinousModel,-8.0,6.5,-0.1,0.999,0.836,1.0,1.0,0.997,4506,550,fcfs
AverageOperationModel,-9.0,6.0,0.0,0.998,0.787,1.0,1.0,0.995,4506,550,fcfs
LogNormalDistributionModel,-1.0,10.0,-0.2,0.998,0.738,1.0,1.0,0.994,4506,550,fcfs
