Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,ndcg_seq_similarity,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,overall_tool_changes,seed,instance,priority_rule
AverageOperationModel,9.0,5.8,0.1,12.667,0.9997068081,0,0,38,34.187,1553,550,fcfs
LogNormalDistributionModel,7.0,10.7,0.1,19.333,0.9999554291,0,0,58,34.63,1553,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1554,550,fcfs
CausalContinousModel,14.0,9.9,0.0,18.0,0.9997112572,0,0,54,34.63,1554,550,fcfs
AverageOperationModel,11.0,10.1,0.3,5.0,0.9999575633,0,0,15,35.52,1554,550,fcfs
LogNormalDistributionModel,13.0,10.2,0.6,16.333,0.9997053938,0,0,49,35.52,1554,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1555,550,fcfs
CausalContinousModel,7.0,8.8,0.3,14.667,0.9997116845,0,0,44,34.187,1555,550,fcfs
AverageOperationModel,5.0,6.3,0.3,15.667,0.9999505764,0,0,47,35.52,1555,550,fcfs
LogNormalDistributionModel,5.0,9.0,0.2,9.333,0.9999579346,0,0,28,35.52,1555,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,36.853,1556,550,fcfs
CausalContinousModel,21.0,21.8,0.5,22.667,0.9999022154,0,0,68,34.63,1556,550,fcfs
AverageOperationModel,16.0,13.0,0.3,18.0,0.9999835179,0,0,54,35.52,1556,550,fcfs
LogNormalDistributionModel,11.0,15.0,0.5,19.0,0.99970758,0,0,57,35.963,1556,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.187,1557,550,fcfs
CausalContinousModel,6.0,10.3,0.5,9.0,0.9999930364,0,0,27,33.297,1557,550,fcfs
AverageOperationModel,6.0,11.3,0.2,15.0,0.9996753278,0,0,45,34.187,1557,550,fcfs
LogNormalDistributionModel,9.0,15.3,0.1,21.333,0.9997164264,0,0,64,35.52,1557,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,33.74,1558,550,fcfs
CausalContinousModel,10.0,10.2,0.2,17.667,0.9997416572,0,0,53,35.073,1558,550,fcfs
AverageOperationModel,4.0,4.9,0.1,10.333,0.9999200217,0,0,31,33.74,1558,550,fcfs
LogNormalDistributionModel,10.0,12.3,0.1,19.667,0.9997276196,0,0,59,35.073,1558,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.187,1559,550,fcfs
CausalContinousModel,15.0,13.0,0.6,21.333,0.9996696395,0,0,64,35.52,1559,550,fcfs
AverageOperationModel,2.0,6.6,0.2,13.0,0.999988538,0,0,39,34.187,1559,550,fcfs
LogNormalDistributionModel,11.0,17.1,0.4,16.0,0.9996571195,0,0,48,34.63,1559,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1560,550,fcfs
CausalContinousModel,4.0,7.8,0.2,15.667,0.9999931051,0,0,47,36.407,1560,550,fcfs
AverageOperationModel,21.0,11.8,0.3,12.333,0.9999966673,0,0,37,36.407,1560,550,fcfs
LogNormalDistributionModel,18.0,17.6,0.0,16.667,0.9999771293,0,0,50,37.297,1560,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1561,550,fcfs
CausalContinousModel,27.0,18.3,0.5,20.0,0.9999607157,0,0,60,35.963,1561,550,fcfs
AverageOperationModel,7.0,8.9,0.4,21.333,0.9996632515,0,0,64,35.52,1561,550,fcfs
LogNormalDistributionModel,12.0,10.1,0.3,16.333,0.999669321,0,0,49,33.74,1561,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.52,1562,550,fcfs
CausalContinousModel,2.0,11.7,0.2,13.667,0.9996969686,0,0,41,35.52,1562,550,fcfs
AverageOperationModel,11.0,8.1,0.1,12.667,0.9996953552,0,0,38,35.52,1562,550,fcfs
LogNormalDistributionModel,2.0,12.1,0.1,20.0,0.9999573727,0,0,60,35.963,1562,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,33.74,1563,550,fcfs
CausalContinousModel,27.0,14.4,0.2,12.333,0.999991631,0,0,37,34.187,1563,550,fcfs
AverageOperationModel,24.0,13.8,0.2,14.0,0.9996811213,0,0,42,35.52,1563,550,fcfs
LogNormalDistributionModel,17.0,10.3,0.3,10.0,0.999708822,0,0,30,33.74,1563,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1564,550,fcfs
CausalContinousModel,21.0,12.2,0.4,12.333,0.9999621371,0,0,37,35.52,1564,550,fcfs
AverageOperationModel,16.0,9.1,0.1,16.333,0.9999848006,0,0,49,34.187,1564,550,fcfs
LogNormalDistributionModel,0.0,6.8,0.0,13.333,0.9999878972,0,0,40,35.963,1564,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1565,550,fcfs
CausalContinousModel,1.0,11.8,0.0,16.667,0.9999842707,0,0,50,34.63,1565,550,fcfs
AverageOperationModel,9.0,13.6,0.3,21.333,0.9996598002,0,0,64,35.52,1565,550,fcfs
LogNormalDistributionModel,6.0,8.0,0.6,10.333,0.9997175517,0,0,31,34.63,1565,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,36.853,1566,550,fcfs
CausalContinousModel,23.0,18.3,0.1,20.333,0.9999629104,0,0,61,35.963,1566,550,fcfs
AverageOperationModel,12.0,8.6,0.1,7.333,0.9999911472,0,0,22,36.407,1566,550,fcfs
LogNormalDistributionModel,1.0,5.9,0.3,11.667,0.9999563246,0,0,35,35.963,1566,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1567,550,fcfs
CausalContinousModel,5.0,5.3,0.1,7.667,0.9999870692,0,0,23,35.963,1567,550,fcfs
AverageOperationModel,4.0,6.6,0.0,8.333,0.9996853281,0,0,25,35.52,1567,550,fcfs
LogNormalDistributionModel,4.0,12.7,0.1,18.667,0.9999718683,0,0,56,35.073,1567,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1568,550,fcfs
CausalContinousModel,10.0,16.3,0.3,22.333,0.9996463848,0,0,67,36.407,1568,550,fcfs
AverageOperationModel,7.0,7.8,0.4,19.333,0.9996693438,0,0,58,35.52,1568,550,fcfs
LogNormalDistributionModel,2.0,11.8,0.7,20.0,0.9996926523,0,0,60,35.52,1568,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.187,1569,550,fcfs
CausalContinousModel,3.0,10.0,0.1,7.667,0.9999746558,0,0,23,33.74,1569,550,fcfs
AverageOperationModel,2.0,6.9,0.1,15.667,0.9999934296,0,0,47,35.52,1569,550,fcfs
LogNormalDistributionModel,4.0,13.8,0.2,18.0,0.9999773064,0,0,54,35.963,1569,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,33.74,1570,550,fcfs
CausalContinousModel,17.0,10.9,0.2,10.333,0.9999517941,0,0,31,34.187,1570,550,fcfs
AverageOperationModel,5.0,7.2,0.1,15.0,0.9997560007,0,0,45,35.52,1570,550,fcfs
LogNormalDistributionModel,10.0,8.9,0.1,17.0,0.9999118365,0,0,51,35.963,1570,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1571,550,fcfs
CausalContinousModel,8.0,8.9,0.5,13.333,0.9999894602,0,0,40,34.63,1571,550,fcfs
AverageOperationModel,18.0,10.3,0.2,18.333,0.999669945,0,0,55,35.52,1571,550,fcfs
LogNormalDistributionModel,1.0,8.4,0.1,11.333,0.9996737939,0,0,34,33.297,1571,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,36.853,1572,550,fcfs
CausalContinousModel,9.0,7.9,0.1,15.667,0.9996740103,0,0,47,35.52,1572,550,fcfs
AverageOperationModel,2.0,7.8,0.4,17.667,0.999673783,0,0,53,35.52,1572,550,fcfs
LogNormalDistributionModel,13.0,8.0,0.4,16.667,0.9996716813,0,0,50,35.52,1572,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,36.407,1573,550,fcfs
CausalContinousModel,25.0,16.7,0.7,19.667,0.9999702855,0,0,59,33.297,1573,550,fcfs
AverageOperationModel,18.0,11.2,0.3,17.333,0.999698934,0,0,52,35.963,1573,550,fcfs
LogNormalDistributionModel,16.0,10.1,0.4,13.0,0.9997019857,0,0,39,34.63,1573,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.187,1574,550,fcfs
CausalContinousModel,10.0,10.2,0.1,14.667,0.9999212588,0,0,44,35.073,1574,550,fcfs
AverageOperationModel,7.0,6.6,0.1,9.0,0.999757039,0,0,27,35.52,1574,550,fcfs
LogNormalDistributionModel,2.0,8.7,0.1,18.667,0.9999092025,0,0,56,34.63,1574,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1575,550,fcfs
CausalContinousModel,19.0,10.3,0.2,8.333,0.9999606572,0,0,25,35.073,1575,550,fcfs
AverageOperationModel,11.0,7.5,0.0,17.333,0.9999615657,0,0,52,34.187,1575,550,fcfs
LogNormalDistributionModel,2.0,7.5,0.2,10.667,0.9999587256,0,0,32,36.407,1575,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1576,550,fcfs
CausalContinousModel,8.0,19.0,0.4,23.333,0.9996466974,0,0,70,36.407,1576,550,fcfs
AverageOperationModel,11.0,8.8,0.6,9.667,0.9999976924,0,0,29,34.63,1576,550,fcfs
LogNormalDistributionModel,24.0,13.4,0.3,12.667,0.9999951313,0,0,38,34.187,1576,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.52,1577,550,fcfs
CausalContinousModel,5.0,9.7,0.7,12.333,0.9999806391,0,0,37,33.297,1577,550,fcfs
AverageOperationModel,12.0,8.2,0.4,13.333,0.9999935839,0,0,40,35.52,1577,550,fcfs
LogNormalDistributionModel,9.0,13.1,0.3,22.0,0.9996462087,0,0,66,36.407,1577,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,36.407,1578,550,fcfs
CausalContinousModel,7.0,14.8,0.1,20.0,0.9999656771,0,0,60,34.187,1578,550,fcfs
AverageOperationModel,2.0,10.7,0.3,16.0,0.9996879253,0,0,48,34.187,1578,550,fcfs
LogNormalDistributionModel,1.0,9.1,0.5,16.333,0.999710795,0,0,49,35.52,1578,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1579,550,fcfs
CausalContinousModel,11.0,14.1,0.2,16.333,0.9997121661,0,0,49,35.52,1579,550,fcfs
AverageOperationModel,4.0,12.9,0.0,16.333,0.9996722024,0,0,49,35.52,1579,550,fcfs
LogNormalDistributionModel,31.0,16.2,0.4,19.0,0.9999656129,0,0,57,35.52,1579,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1580,550,fcfs
CausalContinousModel,21.0,19.8,0.1,22.0,0.9997206634,0,0,66,36.853,1580,550,fcfs
AverageOperationModel,12.0,8.6,0.1,17.667,0.9997460435,0,0,53,34.187,1580,550,fcfs
LogNormalDistributionModel,1.0,11.3,0.2,20.667,0.9999038312,0,0,62,35.073,1580,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1581,550,fcfs
CausalContinousModel,31.0,16.9,0.2,14.333,0.9997034474,0,0,43,34.63,1581,550,fcfs
AverageOperationModel,14.0,11.3,0.1,11.0,0.9999636028,0,0,33,35.52,1581,550,fcfs
LogNormalDistributionModel,2.0,17.7,0.2,21.667,0.9996749609,0,0,65,35.963,1581,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,33.74,1582,550,fcfs
CausalContinousModel,19.0,13.0,0.1,16.667,0.9999261698,0,0,50,35.073,1582,550,fcfs
AverageOperationModel,9.0,7.0,0.1,15.667,0.9999722524,0,0,47,34.187,1582,550,fcfs
LogNormalDistributionModel,1.0,15.5,0.5,22.667,0.9995322595,0,0,68,35.963,1582,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1583,550,fcfs
CausalContinousModel,15.0,14.2,0.6,16.0,0.9999558872,0,0,48,33.74,1583,550,fcfs
AverageOperationModel,3.0,10.2,0.5,20.667,0.9996700961,0,0,62,36.853,1583,550,fcfs
LogNormalDistributionModel,26.0,13.3,0.5,12.667,0.9999742135,0,0,38,36.407,1583,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1584,550,fcfs
CausalContinousModel,21.0,15.1,0.4,18.333,0.9996814161,0,0,55,34.63,1584,550,fcfs
AverageOperationModel,14.0,9.3,0.0,12.333,0.9999949366,0,0,37,34.187,1584,550,fcfs
LogNormalDistributionModel,14.0,16.3,0.6,6.333,0.9999955331,0,0,19,35.073,1584,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,36.407,1585,550,fcfs
CausalContinousModel,15.0,11.2,0.7,18.0,0.9999173653,0,0,54,34.187,1585,550,fcfs
AverageOperationModel,2.0,11.6,0.6,7.667,0.9997561578,0,0,23,36.407,1585,550,fcfs
LogNormalDistributionModel,22.0,14.6,0.7,12.0,0.9999395715,0,0,36,35.963,1585,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1586,550,fcfs
CausalContinousModel,9.0,15.7,0.1,21.0,0.9996977237,0,0,63,34.63,1586,550,fcfs
AverageOperationModel,1.0,10.4,0.2,22.0,0.9996889878,0,0,66,34.187,1586,550,fcfs
LogNormalDistributionModel,12.0,13.7,0.3,22.0,0.9999433207,0,0,66,33.74,1586,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1587,550,fcfs
CausalContinousModel,4.0,11.7,0.3,16.667,0.9997527619,0,0,50,35.52,1587,550,fcfs
AverageOperationModel,2.0,4.9,0.3,8.0,0.9999778163,0,0,24,34.187,1587,550,fcfs
LogNormalDistributionModel,9.0,11.2,0.3,14.667,0.9999815103,0,0,44,34.63,1587,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1588,550,fcfs
CausalContinousModel,20.0,12.7,0.7,15.0,0.9999869258,0,0,45,35.52,1588,550,fcfs
AverageOperationModel,0.0,9.5,0.4,17.667,0.9999791519,0,0,53,33.74,1588,550,fcfs
LogNormalDistributionModel,2.0,8.6,0.0,12.0,0.9999875183,0,0,36,35.963,1588,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.52,1589,550,fcfs
CausalContinousModel,19.0,11.2,0.0,15.0,0.9997501473,0,0,45,35.073,1589,550,fcfs
AverageOperationModel,6.0,5.2,0.4,10.333,0.9999125389,0,0,31,35.52,1589,550,fcfs
LogNormalDistributionModel,12.0,8.0,0.5,14.667,0.9999187421,0,0,44,36.407,1589,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.52,1590,550,fcfs
CausalContinousModel,15.0,12.9,0.1,14.667,0.9999571009,0,0,44,36.407,1590,550,fcfs
AverageOperationModel,5.0,9.4,0.2,6.667,0.9996942601,0,0,20,35.52,1590,550,fcfs
LogNormalDistributionModel,2.0,22.2,0.6,7.667,0.9999316758,0,0,23,35.52,1590,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.963,1591,550,fcfs
CausalContinousModel,21.0,17.9,0.4,22.0,0.9999633875,0,0,66,34.187,1591,550,fcfs
AverageOperationModel,4.0,8.9,0.2,15.333,0.9999924859,0,0,46,35.52,1591,550,fcfs
LogNormalDistributionModel,6.0,10.1,0.6,21.0,0.9998918064,0,0,63,36.407,1591,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,35.073,1592,550,fcfs
CausalContinousModel,4.0,13.3,0.2,21.667,0.9997303431,0,0,65,35.52,1592,550,fcfs
AverageOperationModel,0.0,7.5,0.0,13.333,0.9997241261,0,0,40,34.187,1592,550,fcfs
LogNormalDistributionModel,2.0,12.9,0.0,22.333,0.9998963513,0,0,67,35.963,1592,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1593,550,fcfs
CausalContinousModel,15.0,12.1,0.2,19.667,0.9996727308,0,0,59,35.963,1593,550,fcfs
AverageOperationModel,6.0,16.2,0.3,21.667,0.9999497094,0,0,65,36.407,1593,550,fcfs
LogNormalDistributionModel,13.0,17.3,0.3,21.667,0.999714396,0,0,65,36.407,1593,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1594,550,fcfs
CausalContinousModel,23.0,14.1,0.5,18.0,0.9996485857,0,0,54,36.407,1594,550,fcfs
AverageOperationModel,1.0,11.2,0.2,18.667,0.9999838428,0,0,56,35.52,1594,550,fcfs
LogNormalDistributionModel,14.0,11.5,0.1,17.667,0.9997291832,0,0,53,36.407,1594,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,33.74,1595,550,fcfs
CausalContinousModel,4.0,10.2,0.5,16.0,0.9999860825,0,0,48,36.853,1595,550,fcfs
AverageOperationModel,14.0,9.2,0.3,12.0,0.999995547,0,0,36,35.52,1595,550,fcfs
LogNormalDistributionModel,3.0,13.7,0.5,14.333,0.9999519465,0,0,43,35.52,1595,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,1.0,0,0,0,34.63,1596,550,fcfs
CausalContinousModel,2.0,12.0,0.1,20.667,0.9997380772,0,0,62,35.963,1596,550,fcfs
AverageOperationModel,8.0,7.9,0.2,21.0,0.9996684029,0,0,63,35.52,1596,550,fcfs
LogNormalDistributionModel,6.0,6.7,0.4,7.333,0.9999972908,0,0,22,34.63,1596,550,fcfs
