Model,makespan (over all),avg abs start deviation,avg duration deviation,levenshtein_seq_sim,a1_0_seq_sim,a2_0_seq_sim,a3_0_seq_sim,seed,instance,priority_rule
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,20,550,fcfs
CausalContinousModel,-4.0,9.4,0.0,94.833,188,78,24,20,550,fcfs
AverageOperationModel,-4.0,7.9,0.0,80.5,162,67,18,20,550,fcfs
LogNormalDistributionModel,-2.0,6.6,0.1,88.833,166,83,18,20,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,21,550,fcfs
CausalContinousModel,-2.0,11.1,0.1,98.5,83,135,86,21,550,fcfs
AverageOperationModel,4.0,11.3,0.1,95.333,92,130,70,21,550,fcfs
LogNormalDistributionModel,-4.0,14.5,0.1,114.667,121,137,88,21,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,22,550,fcfs
CausalContinousModel,3.0,10.0,-0.1,95.833,158,61,80,22,550,fcfs
AverageOperationModel,2.0,8.6,-0.1,91.833,140,64,94,22,550,fcfs
LogNormalDistributionModel,-6.0,9.7,-0.3,102.167,155,64,96,22,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,23,550,fcfs
CausalContinousModel,0.0,10.4,0.0,99.5,147,105,98,23,550,fcfs
AverageOperationModel,-2.0,8.3,-0.1,89.0,133,95,78,23,550,fcfs
LogNormalDistributionModel,3.0,13.6,0.0,104.167,160,96,92,23,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,24,550,fcfs
CausalContinousModel,-1.0,9.9,0.0,92.333,190,53,45,24,550,fcfs
AverageOperationModel,4.0,12.0,0.0,87.0,182,53,39,24,550,fcfs
LogNormalDistributionModel,-4.0,14.7,-0.0,96.0,201,52,53,24,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,25,550,fcfs
CausalContinousModel,2.0,14.5,0.1,88.667,134,96,53,25,550,fcfs
AverageOperationModel,0.0,5.8,0.1,79.333,114,79,54,25,550,fcfs
LogNormalDistributionModel,0.0,11.3,0.2,85.0,124,83,67,25,550,fcfs
TruthContinousModel,0.0,0.0,0.0,0.0,0,0,0,26,550,fcfs
CausalContinousModel,5.0,14.5,0.1,77.333,143,31,55,26,550,fcfs
AverageOperationModel,0.0,9.5,0.0,67.667,128,27,42,26,550,fcfs
LogNormalDistributionModel,0.0,7.3,0.0,64.833,125,17,52,26,550,fcfs
