job_id,operation_id,machine,start_time,duration,plan_duration,end_time
p40,4,a2_0,3573.0,36.0,30.0,3609.0
p40,5,a4_0,4302.0,15.0,18.0,4317.0
p41,1,a1_0,2994.0,15.0,15.0,3009.0
p41,2,a4_0,2043.0,45.0,45.0,2088.0
p41,3,a3_0,3027.0,18.0,15.0,3045.0
p41,4,a2_0,3609.0,30.0,36.0,3639.0
p41,5,a4_0,4320.0,15.0,18.0,4335.0
p42,1,a1_0,3009.0,30.0,30.0,3039.0
p42,2,a2_0,3684.0,45.0,54.0,3729.0
p42,3,a1_0,3039.0,18.0,15.0,3057.0
p42,4,a3_0,3729.0,18.0,18.0,3747.0
p43,1,a1_0,3072.0,30.0,36.0,3102.0
p43,2,a2_0,3729.0,45.0,54.0,3774.0
p43,3,a1_0,3108.0,18.0,15.0,3126.0
p43,4,a3_0,3780.0,15.0,18.0,3795.0
p44,1,a1_0,3126.0,36.0,30.0,3162.0
p44,2,a2_0,3780.0,54.0,54.0,3834.0
p44,3,a1_0,3162.0,15.0,18.0,3177.0
p44,4,a3_0,3834.0,15.0,18.0,3849.0
p45,1,a1_0,3177.0,36.0,36.0,3213.0
p45,2,a2_0,3834.0,45.0,45.0,3879.0
p45,3,a1_0,3213.0,15.0,15.0,3228.0
p45,4,a3_0,3906.0,18.0,18.0,3924.0
p46,1,a1_0,3228.0,18.0,18.0,3246.0
p46,2,a4_0,2088.0,54.0,45.0,2142.0
p46,3,a3_0,3276.0,18.0,15.0,3294.0
p46,4,a2_0,3879.0,36.0,36.0,3915.0
p46,5,a4_0,4338.0,15.0,18.0,4353.0
p47,1,a1_0,3246.0,18.0,18.0,3264.0
p47,2,a4_0,2142.0,54.0,54.0,2196.0
p47,3,a3_0,3294.0,15.0,18.0,3309.0
p47,4,a2_0,3915.0,36.0,30.0,3951.0
p47,5,a4_0,4356.0,18.0,15.0,4374.0
p48,1,a1_0,3264.0,15.0,18.0,3279.0
p48,2,a4_0,2196.0,45.0,54.0,2241.0
p48,3,a3_0,3333.0,18.0,15.0,3351.0
p48,4,a2_0,3951.0,30.0,36.0,3981.0
p48,5,a4_0,4374.0,15.0,18.0,4389.0
p49,1,a1_0,3279.0,30.0,30.0,3309.0
p49,2,a2_0,3981.0,45.0,54.0,4026.0
p49,3,a1_0,3309.0,18.0,18.0,3327.0
p49,4,a3_0,4035.0,18.0,15.0,4053.0
p50,1,a1_0,3327.0,30.0,30.0,3357.0
p50,2,a2_0,4035.0,45.0,45.0,4080.0
p50,3,a1_0,3357.0,15.0,18.0,3372.0
p50,4,a3_0,4086.0,18.0,15.0,4104.0
p51,1,a1_0,3408.0,18.0,18.0,3426.0
p51,2,a4_0,2241.0,54.0,45.0,2295.0
p51,3,a3_0,3462.0,15.0,18.0,3477.0
p51,4,a2_0,4080.0,30.0,30.0,4110.0
p51,5,a4_0,4389.0,15.0,15.0,4404.0
p52,1,a1_0,3426.0,30.0,36.0,3456.0
p52,2,a2_0,4155.0,45.0,54.0,4200.0
p52,3,a1_0,3462.0,18.0,15.0,3480.0
p52,4,a3_0,4209.0,18.0,18.0,4227.0
p53,1,a1_0,3495.0,30.0,36.0,3525.0
p53,2,a2_0,4209.0,45.0,45.0,4254.0
p53,3,a1_0,3531.0,18.0,18.0,3549.0
p53,4,a3_0,4278.0,18.0,15.0,4296.0
p54,1,a1_0,3549.0,18.0,18.0,3567.0
p54,2,a4_0,2295.0,45.0,54.0,2340.0
p54,3,a3_0,3567.0,15.0,15.0,3582.0
p54,4,a2_0,4254.0,36.0,30.0,4290.0
p54,5,a4_0,4404.0,15.0,15.0,4419.0
p55,1,a1_0,3567.0,36.0,36.0,3603.0
p55,2,a2_0,4290.0,45.0,45.0,4335.0
p55,3,a1_0,3603.0,18.0,18.0,3621.0
p55,4,a3_0,4335.0,15.0,18.0,4350.0
p56,1,a1_0,3621.0,15.0,18.0,3636.0
p56,2,a4_0,2340.0,45.0,45.0,2385.0
p56,3,a3_0,3639.0,15.0,15.0,3654.0
p56,4,a2_0,4335.0,36.0,36.0,4371.0
p56,5,a4_0,4419.0,15.0,18.0,4434.0
p57,1,a1_0,3639.0,18.0,18.0,3657.0
p57,2,a4_0,2385.0,45.0,54.0,2430.0
p57,3,a3_0,3699.0,15.0,15.0,3714.0
p57,4,a2_0,4371.0,36.0,36.0,4407.0
p57,5,a4_0,4437.0,18.0,18.0,4455.0
p58,1,a1_0,3657.0,30.0,36.0,3687.0
p58,2,a2_0,4407.0,45.0,54.0,4452.0
p58,3,a1_0,3693.0,18.0,18.0,3711.0
p58,4,a3_0,4455.0,18.0,18.0,4473.0
p59,1,a1_0,3711.0,15.0,18.0,3726.0
p59,2,a4_0,2439.0,45.0,54.0,2484.0
p59,3,a3_0,3747.0,15.0,18.0,3762.0
p59,4,a2_0,4455.0,30.0,36.0,4485.0
p59,5,a4_0,4491.0,15.0,18.0,4506.0
p60,1,a1_0,3729.0,36.0,36.0,3765.0
p60,2,a2_0,4491.0,54.0,54.0,4545.0
p60,3,a1_0,3765.0,15.0,15.0,3780.0
