Model,makespan,avg_makespan_diff,avg abs start dev,avg duration dev,levenshtein_seq,ndcg_seq,leven_a3_0_seq,ndcg_seq_a3,toolchange_perc,seed,instance,priority_rule
LogNormalDistributionModel,-59.0,0.14,72.1,0.3,306.667,0.9999708597,920,0.9999125791,49.063,349,1500,dynamic
HistoDistributionModel,-19.0,-0.01,123.6,0.0,308.0,0.999973313,924,0.9999199391,49.197,349,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.06,350,1500,dynamic
CausalContinousSmallLogCopyModel,25.0,0.02,50.3,0.1,281.0,0.9999935793,843,0.999980738,53.283,350,1500,dynamic
AverageOperationModel,-82.0,0.02,81.7,0.1,271.0,0.9999949909,813,0.9999849726,50.35,350,1500,dynamic
LogNormalDistributionModel,20.0,0.01,142.3,0.1,305.333,0.9999816069,916,0.9999448207,50.35,350,1500,dynamic
HistoDistributionModel,124.0,0.01,93.5,0.1,292.667,0.9999894118,878,0.9999682354,50.97,350,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,50.083,351,1500,dynamic
CausalContinousSmallLogCopyModel,-115.0,-0.1,73.7,-0.2,278.667,0.999980114,836,0.9999403419,50.95,351,1500,dynamic
AverageOperationModel,66.0,0.09,50.8,0.2,258.333,0.9999963352,775,0.9999890056,47.64,351,1500,dynamic
LogNormalDistributionModel,-89.0,-0.07,106.5,-0.1,315.0,0.9999689025,945,0.9999067074,47.46,351,1500,dynamic
HistoDistributionModel,27.0,0.06,95.0,0.1,309.333,0.999987165,928,0.9999614949,48.46,351,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,51.777,352,1500,dynamic
CausalContinousSmallLogCopyModel,11.0,-0.03,26.3,-0.1,248.667,0.9999993131,746,0.9999979392,51.687,352,1500,dynamic
AverageOperationModel,12.0,-0.08,63.8,-0.2,263.0,0.9999986236,789,0.9999958707,49.287,352,1500,dynamic
LogNormalDistributionModel,-64.0,-0.01,62.8,0.0,298.667,0.9999816613,896,0.999944984,49.11,352,1500,dynamic
HistoDistributionModel,-2.0,-0.03,76.2,-0.1,305.667,0.9999862259,917,0.9999586778,49.11,352,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.963,353,1500,dynamic
CausalContinousSmallLogCopyModel,-13.0,0.01,59.0,0.0,300.667,0.9999776553,902,0.999932966,53.163,353,1500,dynamic
AverageOperationModel,-114.0,0.01,77.0,0.0,266.333,0.9999763011,799,0.9999289034,51.163,353,1500,dynamic
LogNormalDistributionModel,53.0,0.03,63.4,0.0,301.667,0.9999726611,905,0.9999179832,51.21,353,1500,dynamic
HistoDistributionModel,-112.0,-0.06,82.9,-0.1,281.333,0.999973011,844,0.9999190331,50.943,353,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,54.02,354,1500,dynamic
CausalContinousSmallLogCopyModel,-36.0,-0.06,55.0,-0.1,273.333,0.9999967821,820,0.9999903462,54.467,354,1500,dynamic
AverageOperationModel,-174.0,0.08,100.7,0.2,281.333,0.9999699157,844,0.9999097471,52.02,354,1500,dynamic
LogNormalDistributionModel,-178.0,-0.01,116.4,0.0,307.667,0.9999702618,923,0.9999107855,51.487,354,1500,dynamic
HistoDistributionModel,-73.0,-0.11,84.8,-0.2,305.333,0.9999390665,916,0.9998171994,51.887,354,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,53.2,355,1500,dynamic
CausalContinousSmallLogCopyModel,-133.0,-0.09,85.3,-0.2,280.667,0.9999803503,842,0.9999410509,53.89,355,1500,dynamic
AverageOperationModel,103.0,0.23,157.0,0.5,273.667,0.9999797689,821,0.9999393066,51.8,355,1500,dynamic
LogNormalDistributionModel,64.0,0.13,111.0,0.3,293.333,0.9999662674,880,0.9998988021,51.577,355,1500,dynamic
HistoDistributionModel,-4.0,0.0,54.1,0.0,299.667,0.9999842643,899,0.9999527929,51.243,355,1500,dynamic
TruthContinousSmallLogCopyModel,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,52.147,356,1500,dynamic
