,0,1
537,p1,1
538,p1,2
539,p1,3
540,p2,1
541,p1,1
542,p1,2
543,p1,3
544,p2,2
545,p1,1
546,p1,2
547,p1,3
548,p2,1
549,p2,2
550,p2,4
551,p2,4
552,p2,1
553,p2,2
554,p2,4
555,p1,1
556,p1,2
557,p1,3
558,p2,1
559,p2,2
560,p2,4
561,p1,1
562,p1,2
563,p1,3
564,p1,1
565,p1,2
566,p1,3
567,p1,1
568,p1,2
569,p1,3
570,p2,1
571,p2,2
572,p2,4
573,p1,1
574,p2,1
575,p2,2
576,p2,4
577,p1,2
578,p1,1
579,p1,2
580,p1,3
581,p1,3
582,p2,1
583,p2,2
584,p2,4
585,p2,1
586,p2,2
587,p2,4
588,p1,1
589,p1,2
590,p1,3
591,p1,1
592,p1,2
593,p1,3
594,p2,1
595,p2,2
596,p2,4
597,p1,1
598,p1,2
599,p1,3
600,p2,1
601,p2,2
602,p2,4
603,p2,1
604,p2,2
605,p2,4
606,p2,1
607,p2,1
608,p2,2
609,p2,4
610,p2,2
611,p1,1
612,p1,2
613,p1,3
614,p1,1
615,p1,2
616,p1,3
617,p2,4
618,p2,1
619,p2,2
620,p2,4
621,p2,1
622,p2,2
623,p2,4
624,p2,1
625,p2,2
626,p2,4
627,p2,1
628,p2,2
629,p2,4
630,p2,1
631,p2,2
632,p2,4
633,p1,1
634,p1,2
635,p1,3
636,p1,1
637,p1,2
638,p1,3
639,p1,1
640,p1,1
641,p1,2
642,p1,3
643,p1,2
644,p2,1
645,p2,2
646,p2,4
647,p1,3
648,p1,1
649,p1,2
650,p1,3
651,p2,1
652,p2,2
653,p2,4
654,p2,1
655,p2,2
656,p2,4
657,p2,1
658,p2,2
659,p2,4
660,p2,1
661,p2,2
662,p2,4
663,p1,1
664,p1,2
665,p1,3
666,p2,1
667,p2,2
668,p2,4
669,p2,1
670,p2,2
671,p2,4
672,p2,1
673,p2,1
674,p2,2
675,p2,4
676,p2,2
677,p2,1
678,p2,2
679,p2,4
680,p1,1
681,p1,2
682,p1,3
683,p2,4
684,p2,1
685,p2,2
686,p2,4
687,p2,1
688,p2,2
689,p2,4
690,p1,1
691,p1,2
692,p1,3
693,p2,1
694,p2,2
695,p2,4
696,p2,1
697,p2,2
698,p2,4
699,p1,1
700,p1,2
701,p1,3
702,p2,1
